title,author,rating,gender,publisher,publishDate
The Quotable Einstein,Alice Calaprice,4.08,w,Princeton University Press,October 6th 1996
Elizabeth's Video Fever,"Francine Pascal  (Creator), Molly Mia Stewart",3.65,w;w,Bantam,February 1st 1993
Murphy's Boy,Torey L. Hayden,4.14,m,Avon,December 1st 1983
The Removalists,David Williamson,3.44,m,Currency Press Pty Ltd,January 1st 1972
Winds of Fury,Mercedes Lackey,4.06,w,DAW,August 1st 1994
Mystery of the Ivory Charm,Carolyn Keene,3.86,w,Grosset & Dunlap,1974
بسيط كالماء واضح كطلقة مسدس,رياض الصالح الحسين,4.02,m,دار الجرمق - دمشق,1982
The Incredible Internet,Michael Cox,3.74,m,Scholastic Inc.,Published
"Cannons at Dawn: The Second Diary of Abigail Jane Stewart, Valley Forge, Pennsylvania, 1779",Kristiana Gregory,4.08,w,Scholastic Inc.,May 1st 2011
Loves That Bind: A Novel,Julián Ríos,3.59,m,Vintage,April 27th 1999
The Widower's Tale,Julia Glass,3.67,w,Pantheon,September 7th 2010
Goals!: How to Get Everything You Want Faster Than You Ever Thought Possible,Brian Tracy,4.29,m,Berrett-Koehler Publishers,November 1st 2004
In the Courts of the Sun,Brian D'Amato,3.31,m,Dutton Adult,March 26th 2009
Caribbee,Thomas Hoover,3.48,m,"Smashwords, Inc.",August 19th 2010
Pericles of Athens and the Birth of Democracy,Donald Kagan,3.94,m,Free Press,October 1st 1998
Mrs. Maddox,Jamie McGuire,4.05,m,,February 14th 2013
Darth Paper Strikes Back,Tom Angleberger,4.12,m,Harry N. Abrams,August 1st 2011
The Pioneers,James Fenimore Cooper,3.4,m,"Oxford University Press, USA",February 24th 2000
Rum and Raindrops,Jean Oram,3.99,m,Oram Productions,February 22nd 2014
Salvation in Death,J.D. Robb,4.28,m,Piatkus,November 6th 2008
The World According to Bob: The Further Adventures of One Man and His Street-wise Cat,James Bowen,4.27,m,Hodder & Stoughton,September 3rd 2013
Air & Earth,Tamora Pierce,4.42,m,Scholastic,2003
The Language Inside,Holly Thompson,3.87,w,Delacorte,May 14th 2013
Darien: Guardian Angel of Jesus,Roger Elwood,4.0,m,Thomas Nelson,January 21st 1997
Deathtrap,Dana Marton,4.18,w,,June 3rd 2013 
How It All Began,Penelope Lively,3.55,w,Viking,January 5th 2012
Sammy Keyes and the Night of Skulls,Wendelin Van Draanen,4.21,m,Knopf Books for Young Readers,October 11th 2011
Book of the Hopi,Frank Waters,4.08,m,Penguin Books,June 30th 1977
Landga,Anant Samant,4.0,m,Majestic Prakashan,2008
Stolen Breaths,Pamela Sparkman,3.69,w,Smashwords,January 30th 2014
Spring Broke,Melody Carlson,3.79,w,David C. Cook,March 1st 2009
Pura Vida,José María Mendiluce,3.49,m,Planeta,June 12th 2007
Le clan des MacLaren,Susan King,3.74,w,J'ai lu,December 5th 2012
The Damned,L.A. Banks,4.28,m,St. Martin's Paperbacks,January 2nd 2007
What a Ghoul Wants,Victoria Laurie,4.13,w,Signet,December 24th 2012
La metà di niente,Catherine Dunne,3.48,w,Guanda,1998
Bolero,Davor Suhan,5.0,m,,
Pursued,Evangeline Anderson,4.15,w,Evangeline Anderson Books,June 20th 2012
"Contes des mille et une nuits, Intégrale Volumes 1 à 9",Anonymous,4.0,m,,July 30th 2012
The Soul Stealer,"Alex Archer (pseudonym), Jon F. Merz",3.65,m;m,Gold Eagle,May 13th 2008
A Plain Christmas,"Roger Rheinheimer , Crystal Linn",4.33,m;w,Helping Hands Press,December 9th 2012
Dark Light,S.L. Jennings,3.95,m,Amazon Digital Services,October 28th 2012
Cloud Busting,Malorie Blackman,4.05,w,,
Undeniably You,Jewel E. Ann,4.25,m,Smashwords,August 18th 2014
Revive,Nina Levine,4.29,w,,July 21st 2014 
Redburn: His First Voyage,Herman Melville,3.63,m,Createspace Independent Publishing Platform,February 12th 2014
El Filibusterismo,José Rizal,4.22,m,University of Hawaii Press,January 28th 2007
Cathy's Key,"Sean Stewart , Jordan K. Weisman",3.75,m;m,Running Press,February 25th 2009
"Kingdom Hearts II, Vol. 1",Shiro Amano,4.31,m,Tokyopop,July 10th 2007
Cade,James Hadley Chase,3.55,m,,
Danny's Dragon,Sedonia Guillone,3.72,m,Total E Bound Publishing,January 5th 2009
"Area 51 - Black Jets: A History of the Aircraft Developed at Groom Lake, America's Secret Aviation Base",Bill Yenne,4.07,m,Zenith Press,March 15th 2014
Becoming the Villainess,Jeannine Hall Gailey,4.22,w,Steel Toe Books,March 5th 2006
The Fall of the Hotel Dumort,"Cassandra Clare , Maureen Johnson",3.89,w;w,Margaret K. McElderry Books,October 15th 2013
Ahh! Sims.,Carl Sims,3.0,m,Carl Sims,September 12th 2011
Chase & Hearts,Jonaxx,4.32,m,,
The Sacred Sword,Scott Mariani,4.18,m,Avon,2012
Healing Water: A Hawaiian Story,Joyce Moyer Hostetter,3.94,w,Calkins Creek,April 1st 2008
Exploring English,Augustine Martin (Editor),4.57,w,Gill Books,August 26th 2011
La interpretadora de sueños,Rafeal R. Costa,3.98,m,Amazon Digital Services,March 5th 2012
A Shropshire Lad,A.E. Housman,4.04,m,Dover Publications,July 1st 1990
Finally Us,Harper Bentley,4.05,m,Harper Bentley,June 30th 2014
Rebellion,Ian Irvine,4.05,m,Orbit,March 12th 2013
The Death and Life of Superman,Roger Stern,4.1,m,Bantam,August 1st 1993
Influence & Independence,"Mia S. Beck , Stine Falkenberg Schmidt",4.86,w;w,CreateSpace,September 22nd 2014
Waiting for the Wild Beasts to Vote,Ahmadou Kourouma,3.89,m,Vintage,May 6th 2004
Endgame: Bobby Fischer's Remarkable Rise and Fall - From America's Brightest Prodigy to the Edge of Madness,Frank Brady,3.95,m,Broadway Books,February 1st 2011
پر,Charlotte Mary Matheson,3.18,w,دنیای کتاب,2009
Elements of Chemistry: Capture,Penny Reid,4.14,w,Cipher-Naught,May 8th 2015
Dr. Wren's Incredible Hoverpark of Wonder,Shelly Drummond,3.71,w,Thin Husk,June 16th 2015
The 39-Storey Treehouse,Andy Griffiths,4.3,m,Pan MacMillan Australia,September 1st 2013
The Snowden Files: The Inside Story of the World's Most Wanted Man,Luke Harding,3.85,m,Vintage,February 14th 2014
Fluke,James Herbert,3.87,m,Pan Macmillan,April 1st 1999
Romulus Buckle & the City of the Founders,Richard Ellis Preston Jr.,3.63,m,47North,July 2nd 2013
Snow Angel,Jamie Carie,3.88,m,B Fiction,September 1st 2007
Väike raamatutuba,Eleanor Farjeon,4.05,w,Eesti Raamat,1987
Desafiar os Limites: A ciência da sobrevivência,Frances Ashcroft,4.13,w,Bizâncio,September 2006
Ragweed,Avi,3.88,m,HarperCollins,June 9th 2020
Easy Love,Kristen Pro,4.11,w,Ampersand Publishing,March 3rd 2015
Three Amazing Things About You,Jill Mansell,4.14,w,Headline,January 15th 2015
"Flower Farming: Sales, Markets, Funding, And Investing",Francis Okumu,3.5,m,,June 6th 2015
"Started Early, Took My Dog",Kate Atkinson,3.92,w,Doubleday & Co Inc.,November 19th 2010
What Would Lizzy Bennet Do?,Katie Oliver,3.35,w,Carina,January 15th 2016
Interborough,Santino Hassell,4.14,m,Riptide Publishing,October 24th 2016
The Weight of Glory,C.S. Lewis,4.38,m,HarperSanFrancisco,March 3rd 2001
Mystery Monsters Of The Deep,Gardner Soule,5.0,m,Franklin Watts,Published
Brody's Ghost Volume 4,Mark Crilley,4.26,m,Dark Horse Originals,April 16th 2013
Michael Morpurgo Classic Collection,Michael Morpurgo,4.56,m,Egmont UK Limited,2010
Killing the Rising Sun: How America Vanquished World War II Japan,"Bill O'Reilly , Martin Dugard",4.34,m;m,Henry Holt and Co.,September 13th 2016
A Tide of War,Bella Forrest,4.58,w,,March 20th 2017 
We Were Eight Years in Power: An American Tragedy,Ta-Nehisi Coates,4.4,m,One World Publications,October 3rd 2017
Say You'll Remember Me,Katie McGarry,3.95,w,Harlequin Teen,January 30th 2018
Swink,Adriana Locke,4.33,w,,July 19th 2017
"Hand, Hand, Fingers, Thumb",Al Perkins,4.23,m,Random House Books for Young Readers,January 20th 1998
چنین گفت بودا,هاشم رجب‌زاده,3.5,m,اساطیر,Published
The Metastases of Enjoyment: Six Essays on Women and Causality,Slavoj Žižek,3.85,m,Verso,January 17th 2006
The Furies of Rome,Robert Fabbri,4.32,m,Corvus,January 7th 2016
"Four Princes: Henry VIII, Francis I, Charles V, Suleiman the Magnificent and the Obsessions that Forged Modern Europe",John Julius Norwich,3.79,m,"New York, Atlantic Monthly Press, [",July 13th 2017
The Years,Virginia Woolf,3.77,w,Penguin Classics,February 28th 2002
Stoneheart,Charlie Fletcher,3.64,m,Hodder Children's Books,September 20th 2007
Petits oiseaux,Yōko Ogawa,3.94,m,Actes Sud,September 3rd 2014
Phèdre,Jean Racine,3.72,m,Flammarion,2009
"Bitch Planet, Vol. 1: Extraordinary Machine",Kelly Sue DeConnick  (Writer),4.04,m,Image Comics,October 7th 2015
Wild Hunger,Suzanne Wright,4.24,w,Montlake Romance,May 29th 2018
All Rights Reserved,Gregory Scott Katsoulis,3.69,m,Harlequin Teen,August 29th 2017
Old Testament Theology for Christians: From Ancient Context to Enduring Belief,John H. Walton,4.24,m,IVP Academic,November 21st 2017
Feminist Theory: From Margin to Center,Bell Hooks,4.38,w,South End Press,December 1st 1984
Ecology and Liberation: A New Paradigm (Ecology & Justice Series),Leonardo Boff,3.75,m,Orbis Books,March 1st 1995
The Storytelling Animal: How Stories Make Us Human,Jonathan Gottschall,3.71,m,Mariner Books,April 23rd 2013
Wild Country,Anne Bishop,4.25,w,Ace,March 5th 2019
The City Always Wins,Omar Robert Hamilton,3.9,m,Faber & Faber,August 1st 2017
"Notorious Victoria: The Life of Victoria Woodhull, Uncensored",Mary Gabriel,3.64,m,Algonquin Books,January 28th 1998
The Hidden Gallery,Maryrose Wood,4.07,w,Balzer + Bray,March 1st 2011
Reginald Bones: BOX SET 1-3,Lucian Bane,4.4,m,,March 24th 2017
Sacrificed to the Beast,Jessa Kane,3.71,m,,July 11th 2019
Things You Can't Say,Jenn Bishop,4.38,w,Aladdin,March 3rd 2020
Enter a Glossy Web,McKenna Ruebush,4.19,w,Henry Holt and Co. (BYR),September 27th 2016
Sissy: A Coming-of-Gender Story,Jacob Tobia,4.1,m,G.P. Putnam's Sons,March 5th 2019
Headlight Anthology 6,Sarah Steinberg (Editor),5.0,w,,2003
Alemdağ'da Var Bir Yılan,Sait Faik Abasıyanık,4.23,m,Yapı Kredi Yayınları,December 2002
Lover,Penelope Sky,4.21,w,,January 7th 2020
"Black (The Wings Trilogy, #2)",Angelina J. Steffort,4.32,w,MK,November 15th 2017
It's Not Like It's a Secret,Misa Sugiura,3.71,w,HarperCollins,May 9th 2017
Burst Out Laughing,Barry Stevens,4.4,m,Celestial Arts,November 1st 1995
The Canterbury Papers,Judith Koll Healey,3.61,w,William Morrow Paperbacks,January 4th 2005
If You Give a Mouse a Brownie,Laura Joffe Numeroff,3.89,w,HarperCollins,October 18th 2016
City of Quartz: Excavating the Future in Los Angeles,Mike Davis,4.13,m,Vintage,March 10th 1992
The Hounds of Sunset,Edith Pargeter,4.08,w,Headline Book Publishing,February 1st 1988
Perfect Mistake,Kate Brian,4.07,w,Simon Schuster Books for Young Readers,October 27th 2009
Frankenstein Makes a Sandwich,Adam Rex,4.21,m,Harcourt,September 1st 2006
To Serve Them All My Days,R.F. Delderfield,4.31,m,Hodder And Stoughton,December 5th 2005
"Eyeshield 21, Vol. 8: True Warriors Seek Out Strong Foes",Riichiro Inagaki,4.31,m,VIZ Media LLC,June 6th 2006
The Outlandish Adventures of Liberty Aimes,Kelly Easton,3.95,m,Yearling,March 8th 2011
Dance on the Earth: a Memoir,Margaret Laurence,4.04,w,McClelland & Stewart,March 26th 1998
Work: A Story of Experience,Louisa May Alcott,3.68,w,Penguin Classics,June 1st 1994
Weed / Yoshihiro Takahashi,Yoshihiro Takahashi,4.67,m,ComicsOne,2000
Swag,Elmore Leonard,3.88,m,Phoenix,February 1st 2005
The IHOP Papers,Ali Liebegott,3.54,m,Da Capo Press,January 3rd 2007
The Draining Lake,Arnaldur Indriðason,3.89,m,Harvill Secker,August 2nd 2007
Hunter's Moon,Dana Stabenow,4.21,w,Berkley,December 1st 1999
Kapitan Sino,Bob Ong,3.9,m,"Visprint, Inc.",May 2009
Pandora Gets Jealous,Carolyn Hennesy,3.74,w,Bloomsbury USA Children's Books,December 26th 2007
City of Tranquil Light,Bo Caldwell,4.22,m,Henry Holt and Co.,September 28th 2010
"Stopping Time, Part 1",Melissa Marr,3.96,w,HarperCollins,March 16th 2010
Liverpool Lies,Anne Baker,4.25,w,Headline,November 2nd 2000
The Silver Call,Dennis L. McKiernan,3.99,m,Roc,December 1st 2001
Gélida Luz,Victoria Francés,4.23,w,Vitamina BD Edições,2007
"Crouching Vampire, Hidden Fang",Katie MacAlister,4.09,w,Berkley Books,May 5th 2009
Faerie Lord,Herbie Brennan,3.95,m,Bloomsbury Publishing PLC,January 1st 2008
In Your Eyes,Laura Moore,3.83,w,Ivy Books,December 18th 2007
The Nether World,George Gissing,3.85,m,Oxford University Press,October 7th 1999
Show Jumper,Bonnie Bryant,3.8,m,Skylark,April 13th 1999
Lois Lane Tells All,Karen Hawkins,3.75,w,Pocket Star,March 30th 2010
The Tenth Gift,Jane Johnson,3.82,w,Doubleday Canada,May 6th 2008
The Dolphins of Laurentum,Caroline Lawrence,4.07,w,Roaring Brook Press,September 5th 2003
The Cobbler's Kids,Rosie Harris,4.21,w,Random House UK,October 1st 2006
Elmo,Juhani Peltonen,3.21,m,WSOY,1986
Meridian,Amber Kizer,3.71,w,Delacorte Press,August 11th 2009
Green Eyed Monster,Gill McKnight,3.55,m,Bold Strokes Books,November 1st 2008
Cosmology,Steven Weinberg,4.4,m,"Oxford University Press, USA",April 28th 2008
Dark Celebration,Christine Feehan,4.37,w,Berkley,September 5th 2006
The Journey Home: Some Words in Defense of the American West,"Edward Abbey, Jim Stiles",4.18,m;m,Plume,January 30th 1991
"Hey, Good Looking",Fern Michaels,3.84,w,Pocket,April 4th 2006
Troublesome Young Men: The Rebels Who Brought Churchill to Power and Helped Save England,Lynne Olson,4.23,w,"Farrar, Straus and Giroux",April 17th 2007
Konin: A Quest,Theo Richmond,4.46,m,Jonathan Cape,August 29th 1995
Homer's Odyssey,Gwen Cooper,4.2,w,Delacorte Press,August 25th 2009
Views of Jeopardy,Jack Gilbert,4.13,m,AMS Press,December 31st 1971
Learning How to Learn: Psychology and Spirituality in the Sufi Way,Idries Shah,4.39,m,Penguin Books,September 1st 1996
Child of the Phoenix,Barbara Erskine,4.29,w,HarperCollins,November 11th 1996
House of Reckoning,John Saul,3.8,m,Ballantine Books,October 13th 2009
Tibetan Relaxation: Kum Nye Massage and Movement,Tarthang Tulku,4.03,m,Thorsons Publishers,May 1st 2003
Note To Self,Brian E. Niskala,3.45,m,CreateSpace,May 4th 2012
The Book of Deacon,Joseph R. Lallo,3.85,m,,January 28th 2010
The Clone,"Theodore L. Thomas, Kate Wilhelm",3.48,m;w,Berkley Medallion,December 1965
Light Through the Cracks,Rebecca A. Raymer,3.27,w,Createspace Independent Publishing Platform,April 9th 2011
Wrecked,Anna Davies,2.93,w,Simon Schuster Books for Young Readers,May 1st 2012
The Darling Dahlias and the Cucumber Tree,Susan Wittig Albert,3.69,w,Berkley Pub Group,July 6th 2010
Darkfire Kiss,Deborah Cooke,4.16,w,Signet,May 3rd 2011
J.D Robb in Death Collection Books 30-32,J.D. Robb,4.7,m,Berkley Books,November 1st 2011
Climbing Mount Improbable,Richard Dawkins,4.08,m,Penguin,April 6th 2006
The Basket of Flowers: A Tale for the Young,Christoph von Schmid,4.16,m,Lamplighter Publishing,January 28th 1997
Becky Bananas: This Is Your Life,Jean Ure,3.64,m,HarperCollinsChildren’sBooks,January 2nd 2002
Unshaken: Ruth,Francine Rivers,4.29,w,Tyndale House Publishers,March 1st 2001
Duckling Ugly,Neal Shusterman,3.72,m,Speak,April 5th 2007
"The Walking Dead, Vol. 16: A Larger World",Robert Kirkman,4.16,m,Image Comics,June 19th 2012
Ventus,Karl Schroeder,3.93,m,Tor Science Fiction,November 19th 2001
Fruitless Fall: The Collapse of the Honey Bee and the Coming Agricultural Crisis,Rowan Jacobsen,4.32,m,Bloomsbury USA,September 16th 2008
The Moment of Truth,Jude Watson,3.91,m,Scholastic Paperbacks,November 1st 2003
Wild Irish Ride,Jennifer Saints,3.76,w,Between Your Sheets Publishing,December 8th 2009
Return to Summerhouse,Jude Deveraux,3.98,m,Thorndike Press,June 1st 2008
Stay Close,Harlan Coben,3.89,m,Dutton,March 20th 2012
My Thoughts Be Bloody: The Bitter Rivalry Between Edwin and John Wilkes Booth That Led to an American Tragedy,Nora Titone,4.27,w,Free Press,October 19th 2010
Even Now / Ever After,Karen Kingsbury,4.51,w,Zondervan Publishing Company,October 31st 2007
What Becomes of the Broken Hearted?,Alan Duff,3.64,m,Vintage,1997
বিকেলের মৃত্যু,Shirshendu Mukhopadhyay,3.47,m,আনন্দ পাবলিশার্স প্রাইভেট লিমিটেড,1987
Uncle Dynamite,P.G. Wodehouse,4.3,m,Penguin Books,August 6th 1991
Kai Chand Thay Sar-e-Aasman / کئی چاند تھے سر آسماں,Shamsur Rahman Faruqi,4.06,m,"Scheherzade, Karachi",2011
The Big Race,"Francine Pascal  (creator), Molly Mia Stewart",3.55,w;w,Bantam,March 1st 1993
Travelling North,David Williamson,3.73,m,,
Trojan Odyssey,Clive Cussler,3.94,m,G.P. Putnam's Sons,December 1st 2004
أحلى قصائدي,نزار قباني,3.94,m,منشورات نزار قبانى,1999
"The Winter of Red Snow: The Revolutionary War Diary of Abigail Jane Stewart, Valley Forge, Pennsylvania, 1777",Kristiana Gregory,3.9,w,Scholastic Inc.,September 1st 1996
Prince of Dreams,Susan Krinard,3.55,w,Bantam,January 1st 1995
Time to Let Go,Lurlene McDaniel,3.98,m,Laurel Leaf Library,December 1st 1990
A Blazing Gilded Age,Rich DiSilvio,4.19,m,DV Books,May 2012
"Excuses Begone!: How to Change Lifelong, Self-Defeating Thinking Habits",Wayne W. Dyer,4.17,m,Hay House,May 26th 2009
Recovery Road,Blake Nelson,3.78,m,Scholastic Press,March 1st 2011
Last Kiss Goodnight,Gena Showalter,3.85,w,Pocket Books,December 26th 2012
No Talking,Andrew Clements,3.96,m,Atheneum Books for Young Readers,June 26th 2007
Ja må han le... Va?,Per Nilsson,3.1,m,Rabén & Sjögren,1993
Into the Storm,Taylor Anderson,3.95,m,Roc Hardcover,June 3rd 2008
Champagne and Lemon Drops,Jean Oram,3.32,m,Oram Productions,March 8th 2013
Shadow Castle,Marian Cockrell,4.39,m,Backinprint.com,December 1st 2000
Kiss & Ride,September Roberts,4.0,m,,February 3rd 2014
Angelwalk,Roger Elwood,3.85,m,Crossway Books,February 1st 1988
Making Motions,N.M. Silber,4.06,m,,"When is the Next One!?!

441 books — 1,444 voters
Humorous Sexy Books of 2014

47 books — 220 voters"
Wake Up Call,Victoria Ashley,3.8,w,CreateSpace Independent Publishing Platform,August 8th 2013
I Heart Bloomberg,Melody Carlson,3.47,w,David C. Cook,April 1st 2008
Onward Towards Our Noble Deaths,Shigeru Mizuki,4.02,m,Drawn and Quarterly,April 26th 2011
Le valeureux guerrier,Kris Kennedy,3.88,m,J'ai Lu,September 1st 2011
Silenced,Dani Pettrey,4.37,m,Bethany House,May 6th 2014
Teryosha,Aleksey Nikolayevich Tolstoy (Adaptor),3.13,m,Progress Publishers - Moscow,1976
Deadly Forecast,Victoria Laurie,4.22,w,NAL,July 2nd 2013
Fall into You,Roni Loren,4.25,m,Berkley Heat,December 31st 2012
Father-Daughter Incest,Judith Lewis Herman,4.23,w,Harvard University Press,January 1st 1981
A Cold Winter,"Roger Rheinheimer , Crystal Linn",4.4,m;w,Helping Hands Press,December 9th 2012
Ф.М.,Boris Akunin,3.77,m,,"Best Russian Literature

499 books — 2,076 voters
Best Modern Russian "
Vampire Box Set 8 Books,H.T. Night,3.81,m,,December 29th 2013 
Zeus and the Thunderbolt of Doom,"Joan Holub , Suzanne Williams",3.86,w;w,Aladdin,August 7th 2012
Deserter from Death: Dispatches from Western Europe 1950-2000,Daniel Singer,5.0,m,Nation Books,March 3rd 2005
Broken Wings,Erika Ash,4.2,w,,March 9th 2014 
Satan's Property,Celia Loren,3.78,w,Hearts Collective Publishing,May 17th 2014
Omoo: A Narrative of Adventures in the South Seas,Herman Melville,3.52,m,Createspace Independent Publishing Platform,February 5th 2014
Burung-Burung Manyar,Y.B. Mangunwijaya,4.13,m,Djambatan,2004
"Cathy's Ring: If Found, Please Call 650-266-8263","Sean Stewart , Jordan K. Weisman",3.78,m;m,Running Press Kids,March 2nd 2010
The Ghost and the Graveyard,Genevieve Jack,3.65,w,Carpe Luna Publishing,September 8th 2012
Footloose,Rudy Josephs,3.88,m,Bloomsbury UK,October 1st 2011
Batman: Whatever Happened to the Caped Crusader?,Neil Gaiman,3.98,m,DC Comics,July 21st 2009
A Lotus for Miss Quon,James Hadley Chase,3.58,m,,
Flying Fish,Sedonia Guillone,3.69,m,Loose Id.,July 7th 2009
I Was the Jukebox: Poems,Sandra Beasley,4.25,w,W. W. Norton Company,April 5th 2010
Saving Raphael Santiago,"Cassandra Clare , Sarah Rees Brennan",4.18,w;w,Margaret K. McElderry Books,September 17th 2013
Reunited,Hilary Weisman Graham,3.65,w,Simon Schuster Books for Young Readers,June 12th 2012
In the Dark of the Night,John Saul,3.88,m,Ballantine Books,July 18th 2006
"Heartless, Part Two",Jonaxx,4.49,m,Sizzle under Summit Books,February 17th 2015
Roswell,"Sonny Whitelaw, Jennifer Fallon",4.06,m;w,Fandemonium Books,April 23rd 2007
House of Royals,Keary Taylor,3.86,m,CreateSpace Independent Publishing Platform,June 21st 2015
Am dreizehnten Tag,Regina Mengel,3.57,w,Quindie,September 14th 2013
Finding Us,Harper Bentley,4.0,m,,"January & February 2014 releases!

181 books — 668 voters
My Top 2013-2014 Romance Reads

141 books — 39 voters"
Innumeracy: Mathematical Illiteracy and Its Consequences,John Allen Paulos,3.8,m,Hill and Wang,August 18th 2001
Turning Curse,A.C. Harrah,3.76,m,,May 5th 2014 
Lanark,Alasdair Gray,4.11,m,Canongate Books,November 9th 2002
وجع البعاد,يوسف القعيد,3.52,m,دار سعاد الصباح,1992
Rowan Hood: Outlaw Girl of Sherwood Forest,Nancy Springer,3.74,w,Penguin Putnam Puffin,September 16th 2002
Jurnal 2003 - 2009,Oana Pellea,4.11,w,Humanitas,2009
Take Me to Paradise,Olivia Cunning,3.92,w,Vulpine Press,November 25th 2014
Poesias,Mário de Sá-Carneiro,4.27,m,Edições Ática,November 2004
Hannibal: Fields of Blood,Ben Kane,4.26,m,Preface Publishing,June 6th 2013
Crazy Summer,Renata Suerth,4.06,w,Renata Suerth,October 6th 2012
Touchstone,Laurie R. King,3.81,w,Bantam,December 26th 2007
Häräntappoase,Anna-Leena Härkönen,3.11,m,Otava,2005
The Unfairest of Them All,Shannon Hale,4.16,m,"Little, Brown Books for Young Readers",March 25th 2014
The 13-Storey Treehouse,Andy Griffiths,4.05,m,Pan Macmillan Australia,September 1st 2011
Tattercoats,"Margot Tomes (Illustrator), Joseph Jacobs",3.5,w;m,Putnam Juvenile,September 6th 1989
Lady Maybe,Julie Klassen,3.78,w,Berkley,July 7th 2015
Raptor 6,Ronie Kendig,4.23,m,Shiloh Run Press,May 1st 2014
Trafficking Women’s Human Rights,Julietta Hua,3.87,w,Univ Of Minnesota Press,August 1st 2011
The Mysterious Portrait,Nikolai Gogol,4.01,m,Dodo Press,October 24th 2008
The Dog in the Manger,Lope de Vega,3.67,m,Oberon Books,September 1st 2005
O Velho Que Esperava Por D. Sebastiao,António Manuel Venda,3.0,m,Editora Pergaminho,1998
The Unpredictable Consequences of Love,Jill Mansell,3.9,w,Headline Review,June 5th 2014
A Murmur in the Trees,Emily Dickinson,4.35,w,Bulfinch Press,May 1st 1998
Quails 101: The Most Asked Questions And Answers On Quail Farming,Francis Okumu,4.4,m,,April 10th 2015
The Trouble With Emma,Katie Oliver,3.79,w,Carina UK,February 24th 2016
An Infamous Army,Georgette Heyer,3.65,w,Arrow,January 15th 2004
On ne badine pas avec l'amour,Alfred de Musset,3.74,m,Le Livre de Poche,January 19th 2000
UFO & IFO: A Factual Report on Flying Saucers,Gardner Soule,4.0,m,Putnam Publishing Group,November 1st 1967
Kicking Off: Why hooliganism and racism are killing football,Dougie Brimson,3.33,m,Category C Publishing,May 1st 2011
Brody's Ghost Volume 5,Mark Crilley,4.29,m,Dark Horse Books,April 22nd 2014
A Passage of Threats,Bella Forrest,4.6,w,Nightlight,July 30th 2017
Terayama Shūji gekijō bijutsukan =: The Terayama Shuji theatre-museum,Terayama Henrik,4.33,m,Paruko Entateinmento Jigyōkyoku,May 2008
The Death Sculptor,Chris Carter,4.39,m,Simon & Schuster UK,August 2012
My Roommate's Girl,Julianna Keyes,3.55,w,Julianna Keyes,June 12th 2017
"Berlin, Vol. 2: City of Smoke",Jason Lutes,4.12,m,Drawn and Quarterly,September 16th 2008
Jillian Jiggs,Phoebe Gilman,4.31,w,Scholastic Trade,July 1st 1988
"365 Journal Writing Ideas: A year of daily journal writing prompts, questions & actions to fill your journal with memories, self-reflection, creativity & direction",Rossi Fox,3.82,m,,January 23rd 2013
How to Live with a Psychic: Your Guide for Maintaining a Happy Relationship when Someone You Love Gets Weird,Crystal Hope Reed,4.6,w,Reed & Carstens Publishing,January 27th 2017
Wege im Sand,Luanne Rice,4.07,m,Knaur,Published
The Arcades Project,Walter Benjamin,4.45,m,Belknap Press,March 30th 2002
Ironhand,Charlie Fletcher,3.96,m,Hodder Children's Books,May 1st 2008
Les Catilinaires,Amélie Nothomb,3.6,w,LGF,June 11th 1997
Happy Days,Samuel Beckett,3.89,m,Faber & Faber,November 30th 1998
The Impostor Queen,Sarah Fine,3.71,w,Margaret K. McElderry Books,January 5th 2016
Fierce Obsessions,Suzanne Wright,4.2,w,Montlake Romance,June 13th 2017
Fighting Absolution,Kate McCarthy,4.52,w,,September 10th 2019
The Night Bird,Brian Freeman,4.0,m,Thomas & Mercer,February 1st 2017
Feminism is for Everybody: Passionate Politics,Bell Hooks,4.13,w,South End Press,October 1st 2000
Apocalypse Taco,Nathan Hale,3.39,m,Harry N. Abrams,March 26th 2019
Julie's Wolf Pack,Jean Craighead George,4.0,m,HarperCollins,February 13th 1999
Life and Death of Krishnamurti,Mary Lutyens,4.02,m,Nesma Books India,September 25th 1999
The Unseen Guest,Maryrose Wood,4.08,w,HarperCollins Canada / Other,April 11th 2013
Wanted By The Devil,Joanna Blake,3.62,w,,May 1st 2017 
Wyspy bezludne,Waldemar Łysiak,4.26,m,Orgelbrandów,1994
Counting Thyme,Melanie Conklin,4.27,w,G.P. Putnam's Sons Books for Young Readers,April 12th 2016
Headlight 4,Alexandra Pasian (Editor),5.0,w,Concordia University,2001
"Heroes: Mortals and Monsters, Quests and Adventures",Stephen Fry,4.31,m,Michael Joseph,November 1st 2018
The Space Between Us,Thrity Umrigar,4.0,m,Harper Perennial,February 6th 2007
Dark and Deepest Red,Anna-Marie McLemore,3.63,m,Feiwel & Friends,January 14th 2020
Die Götter im Exil (German Edition),Heinrich Heine,3.57,m,,March 31st 2011 
It Started With Goodbye,Christina June,3.79,w,Blink/HarperCollins,May 9th 2017
"The Seven Deadly Sins, Vol. 4",Nakaba Suzuki,4.4,m,Kodansha Comics,September 9th 2014
My Bondage and My Freedom,"Frederick Douglass, John David Smith",4.35,m;m,Penguin Classics,February 4th 2003
The Tombs of Anak,Frank E. Peretti,4.03,m,Crossway Books,July 14th 2004
The Complex Infrastructure Known as the Female Mind: According to Relient K,Relient K,3.68,m,Thomas Nelson,November 1st 2004
